"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Gpr162",17.222663163552,1.6958269211538,0.199520229536613,1.48343675060372e-18,2.72136471898252e-15
"Arl6ip5",26.5882166476704,1.43625857100303,0.155222115952045,1.32337296846651e-21,4.85545542130363e-18
"mt-Atp8",105.66925359564,1.27467305326982,0.253586548701393,1.60557820380343e-08,5.89086642975478e-06
"Hist1h1e",48.0091446006719,0.822902293459434,0.148031552592249,1.21019509917807e-09,8.88041163776865e-07
"Unc5b",36.9240649533703,0.78731065215608,0.198104158376652,2.10789257848103e-06,0.000286439180386922
"Nme7",106.35308686753,0.760147126129355,0.2824193285045,0.000207755796554401,0.0117270156547399
"Cdk5r2",16.7877387816427,0.748824038067326,0.201762204598913,8.84015944481268e-06,0.000926701285800507
"Egln1",20.9194407672,0.692173848626143,0.161324917301039,6.20513822870495e-07,0.000103484782550538
"Khdrbs3",60.6559228528029,0.685338328848135,0.137780378420829,2.10795376435652e-08,6.86957636681783e-06
"mt-Nd6",29.2540001667489,0.663115283472825,0.393101650569724,0.00140866102520218,0.0420303795156514
"Rnf10",23.5186981412965,0.652783011146424,0.128549989216618,1.44384022929793e-08,5.88605533477122e-06
"Ap2a2",29.9364987458736,0.650691164312546,0.250114922352111,0.000300463250921266,0.0153111064948629
"Ost4",52.4601441010966,-0.637027103751318,0.119330044126451,4.79060415515669e-09,2.51096094932427e-06
"Ptms",54.3551087077904,0.58926839368154,0.15164034872549,3.35821739399189e-06,0.000440046414948437
"Pth2",71.1301529367536,0.567535243867332,0.133897542621444,1.09518757981883e-06,0.000167426801264804
"Hnrnpa0",83.7959105878488,0.566406574628459,0.0914609888987193,3.30833733901446e-11,3.03457242421101e-08
"Cirbp",96.8581406276378,0.550914127997862,0.114839880965284,6.60975946357017e-08,1.61674716478926e-05
"Atp5mpl",166.371491768824,-0.541075497038269,0.117278189219815,1.67165476641253e-07,3.4073896322042e-05
"Dlg2",106.85776055819,-0.540225888476506,0.29158703876994,0.00141697521607058,0.0420303795156514
"Arf3",28.5733401569003,0.533907672382699,0.139410266369484,5.49890858162193e-06,0.000630484237061589
