"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Scgb1c1",11.3111203819971,7.75539657797967,1.48207647768621,3.01903381788947e-10,9.92041248534032e-08
"Gpr162",17.222663163552,1.55221493680984,0.223454227370111,1.61573375107654e-13,1.40338017236362e-10
"Arl6ip5",26.5882166476704,1.39896658803528,0.170132926503737,1.61929662709846e-17,4.92266174637931e-14
"Gm42418",3675.1936174939,1.3987463490678,0.502745005138617,0.000164200779048068,0.00301613515592826
"Apoe",9.84836183802182,1.38885662150821,0.675692409223637,0.00116762589588016,0.0130259916457824
"mt-Nd6",29.2540001667489,1.38477185731505,0.326079540448329,4.49358546010611e-07,3.36185909944844e-05
"mt-Atp8",105.66925359564,1.2829065451495,0.263931885660899,2.97571186915516e-08,4.76113899064825e-06
"Camk2n1",7.50858226533982,1.26138331985753,0.479877777110856,0.000210854975030974,0.00356110624496757
"Fosb",7.94206944409035,1.23848142085406,0.530897840675485,0.000808961111596806,0.00999691780184671
"Shisa5",9.73793542588366,1.20078700101448,0.304565849930137,4.12203809290926e-06,0.000185644382258432
"Egr1",13.8639506479809,1.08481083756141,0.634872600638759,0.00187744206809787,0.0185084873603925
"Nme7",106.35308686753,1.04689843339999,0.267636936591844,6.38583901012214e-06,0.000267764835734777
"Tenm2",57.7381799305635,1.02066286792197,0.136300719825985,2.40994357434919e-15,3.66311423301077e-12
"Tsix",14.1849288147318,1.00879133052304,0.327564694954862,9.59093663927194e-05,0.00195680854922058
"Cdk5r2",16.7877387816427,1.00544288661331,0.213720656002552,1.2465372724745e-07,1.40350863271203e-05
"Clic4",7.62898634965825,0.961334806646615,0.322636120157319,7.12341790401505e-05,0.00157492294023315
"Parp14",10.696653655832,0.958485170693,0.233120352995916,1.55849805654106e-06,9.0244458893044e-05
"Dlg2",106.85776055819,-0.948529531461407,0.257790679973892,9.08437438055545e-06,0.000345775386051265
"Mtmr10",8.34624682545401,0.942955911284606,0.2690528772244,1.53134652728056e-05,0.000523066678981226
"Mppe1",14.4123988506197,0.936466605343116,0.238268247632699,2.37908682716393e-06,0.000122169980984571
