"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Gpr162",17.222663163552,1.38231837077469,0.193967159321345,7.51095768375766e-14,9.18590124723561e-11
"Arl6ip5",26.5882166476704,1.30214165845251,0.14877855508613,1.54346210146568e-19,5.66296245027758e-16
"Nmt1",17.1838069009074,1.25807423226399,0.300902784881074,1.26872403506902e-06,0.000119357653453032
"Negr1",17.5328680558969,1.14286420700246,0.265721266268257,5.34225074248589e-07,6.53357265806025e-05
"mt-Atp8",105.66925359564,1.12011599985896,0.251598907836924,2.6768549170277e-07,4.22693476652222e-05
"Nme7",106.35308686753,1.07831815012161,0.256710483095561,1.05605681374248e-06,0.000110704927132033
"Kirrel2",126.678638127399,-1.01978729958219,0.185288071472105,1.49448565307079e-09,4.98478896465157e-07
"Ap2a2",29.9364987458736,0.991878740323385,0.219654392177891,2.38738951066343e-07,4.1711105307734e-05
"Hist1h1e",48.0091446006719,0.907212020737777,0.140935212443792,4.76615431079862e-12,2.91450336105336e-09
"Cdk5r2",16.7877387816427,0.873714029536298,0.185762562077524,1.20760635025006e-07,2.76919231191717e-05
"Tnrc6a",43.1018234563116,0.856022445646276,0.181103031749488,8.18134437577294e-08,2.00115683431406e-05
"Gm47283",27.4287148636444,0.833798266310936,0.181684484009343,2.23335451056644e-07,4.09708884963413e-05
"Cnot3",20.7431466693942,0.832635415057606,0.240180762801084,1.83432827938867e-05,0.00101971976622379
"Ino80b",16.9471966000129,0.801777639874472,0.183081532363062,3.86400359425024e-07,5.06322470975148e-05
"mt-Nd6",29.2540001667489,0.786841679304861,0.346732991392377,0.000383129931411119,0.00956261032889385
"Rnf10",23.5186981412965,0.7510921113767,0.117281968114231,5.61102297351095e-12,2.94097761283024e-09
"Cacna1d",48.8884811973935,0.751011459053415,0.229174546628023,3.81178555240385e-05,0.00175854562939962
"Nudcd3",29.1754768203138,0.730148636473581,0.224846240607093,3.58018927890284e-05,0.00168406595696084
"Pcdh17",87.3357688829699,0.72509763462517,0.220725310830764,3.21770701572756e-05,0.00155339040009269
"Dstn",176.345119149576,0.687455673194975,0.15350966745547,2.63547534044791e-07,4.22693476652222e-05
